Name,Start,End,Size
sceDevVu0GetTpc,0x0010FDD8,0x0010FDE4,12
sceDevVu0GetCnd,0x0010FDE8,0x0010FDEC,4
sceDevVu0PutCnd,0x0010FEC8,0x0010FECC,4
sceDevVif0Reset,0x00110038,0x0011005C,36
sceDevVif0Pause,0x00110060,0x00110064,4
sceDevVif0Continue,0x001100C8,0x001100CC,4
sceDevVif0PutErr,0x00110108,0x00110128,32
sceDevVif0GetErr,0x00110128,0x00110138,16
sceDevVif0Sync,0x00110138,0x00110188,80
sceDevVif0GetCnd,0x00110188,0x00110190,8
sceDevVif0PutFifo,0x00110308,0x00110364,80
sceGifPkInit,0x00110368,0x00110378,16
sceGifPkReset,0x00110378,0x00110388,16
sceGifPkTerminate,0x00110388,0x001103E0,88
sceGifPkCnt,0x001103E0,0x001103E4,4
sceGifPkRef,0x00110458,0x0011045C,4
sceGifPkEnd,0x001104F0,0x001104F4,4
sceGifPkReserve,0x00110568,0x0011057C,20
sceGifPkOpenGifTag,0x00110580,0x00110598,24
sceGifPkCloseGifTag,0x00110598,0x001105A8,16
sceGifPkAddGsAD,0x00110640,0x00110644,4
sceVu0ApplyMatrix,0x00110668,0x00110694,44
sceVu0MulMatrix,0x00110698,0x001106DC,68
sceVu0OuterProduct,0x001106E0,0x001106FC,28
sceVu0InnerProduct,0x00110700,0x00110714,20
sceVu0Normalize,0x00110728,0x00110764,60
sceVu0TransposeMatrix,0x00110768,0x00110769,1
sceVu0InversMatrix,0x001107B0,0x001107B1,1
sceVu0DivVector,0x00110820,0x00110828,8
sceVu0DivVectorXYZ,0x00110840,0x00110848,8
sceVu0InterVector,0x00110860,0x0011086C,12
sceVu0AddVector,0x00110888,0x0011089C,20
sceVu0SubVector,0x001108A0,0x001108B4,20
sceVu0MulVector,0x001108B8,0x001108CC,20
sceVu0ScaleVector,0x001108D0,0x001108D8,8
sceVu0TransMatrix,0x001108E8,0x001108F0,8
sceVu0CopyVector,0x00110918,0x00110919,1
sceVu0CopyMatrix,0x00110928,0x00110929,1
sceVu0FTOI4Vector,0x00110950,0x00110960,16
sceVu0FTOI0Vector,0x00110960,0x00110970,16
sceVu0ITOF4Vector,0x00110970,0x00110980,16
sceVu0ITOF0Vector,0x00110980,0x00110990,16
sceVu0UnitMatrix,0x00110990,0x001109B8,40
_sceVu0ecossin,0x001109B8,0x00110A2C,116
sceVu0RotMatrixZ,0x00110A30,0x00110A64,52
sceVu0RotMatrixX,0x00110AD8,0x00110B0C,52
sceVu0RotMatrixY,0x00110B80,0x00110BB4,52
sceVu0RotMatrix,0x00110C28,0x00110C2C,4
sceVu0ClampVector,0x00110C78,0x00110C84,12
sceVu0CameraMatrix,0x00110CA0,0x00110CA4,4
sceVu0NormalLightMatrix,0x00110D50,0x00110D60,16
sceVu0LightColorMatrix,0x00110E10,0x00110E14,4
sceVu0ViewScreenMatrix,0x00110E78,0x00110E98,32
sceVu0DropShadowMatrix,0x00110F80,0x00111110,400
sceVu0RotTransPersN,0x00111110,0x00111168,88
sceVu0RotTransPers,0x00111168,0x001111AC,68
sceVu0CopyVectorXYZ,0x001111B0,0x001111CC,28
sceVu0InterVectorXYZ,0x001111D0,0x001111DC,12
sceVu0ScaleVectorXYZ,0x00111200,0x00111208,8
sceVu0ClipScreen,0x00111218,0x00111220,8
sceVu0ClipScreen3,0x00111260,0x00111268,8
sceVu0ClipAll,0x001112C0,0x0011134C,140
sceVpu0Reset,0x00111350,0x00111398,72
_motionComp0,0x001113B0,0x001113B4,4
_getAllRefs,0x00111600,0x00111608,8
_getRef0,0x00111D08,0x00111D14,12
_doMC,0x00112128,0x00112134,12
_rix_000,0x00112348,0x00112368,32
_ri0_000,0x001123C0,0x001123D8,24
_rix_001,0x00112458,0x00112478,32
_ri0_001,0x00112510,0x00112534,36
_rix_010,0x001125E0,0x0011260C,44
_ri0_010,0x00112690,0x001126C0,48
